Designator,Mid X,Mid Y,Rotation,Layer
C1,188.0,-51.4,270.0,top
C10,98.1,-51.4,270.0,top
C100,195.8,-142.6,90.0,top
C101,172.0,-57.0,0.0,bottom
C102,122.0,-57.0,0.0,bottom
C103,172.0,-77.0,0.0,bottom
C104,121.67,-77.0,0.0,bottom
C105,172.0,-97.0,0.0,bottom
C106,122.0,-97.0,0.0,bottom
C107,172.0,-117.0,0.0,bottom
C108,122.0,-117.0,0.0,bottom
C109,172.0,-137.0,0.0,bottom
C11,106.0,-62.6,90.0,top
C110,122.0,-137.0,0.0,bottom
C12,156.0,-62.6,90.0,top
C13,116.0,-62.6,90.0,top
C14,166.0,-62.6,90.0,top
C15,126.0,-62.6,90.0,top
C16,176.0,-62.6,90.0,top
C17,136.0,-62.6,90.0,top
C18,186.0,-62.6,90.0,top
C19,146.0,-62.6,90.0,top
C2,178.0,-51.4,270.0,top
C20,188.9825,-65.85,0.0,top
C21,188.0,-71.4,270.0,top
C22,138.0,-71.4,270.0,top
C23,178.0,-71.4,270.0,top
C24,128.0,-71.4,270.0,top
C25,168.0,-71.4,270.0,top
C26,118.0,-71.4,270.0,top
C27,158.0,-71.4,270.0,top
C28,108.0,-71.4,270.0,top
C29,148.0,-71.4,270.0,top
C3,168.0,-51.4,270.0,top
C30,98.2,-71.4,270.0,top
C31,106.0,-82.6,90.0,top
C32,156.0,-82.6,90.0,top
C33,116.0,-82.6,90.0,top
C34,166.0,-82.6,90.0,top
C35,126.0,-82.6,90.0,top
C36,176.0,-82.6,90.0,top
C37,136.0,-82.6,90.0,top
C38,186.0,-82.3,90.0,top
C39,146.0,-82.6,90.0,top
C4,158.0,-51.4,270.0,top
C40,188.9825,-85.85,180.0,top
C41,188.0,-91.4,270.0,top
C42,138.0,-91.4,270.0,top
C43,178.0,-91.4,270.0,top
C44,128.0,-91.4,270.0,top
C45,168.0,-91.4,270.0,top
C46,118.0,-91.4,270.0,top
C47,158.0,-91.4,270.0,top
C48,108.0,-91.4,270.0,top
C49,148.0,-91.4,270.0,top
C5,148.0,-51.4,270.0,top
C50,98.2,-91.4,270.0,top
C51,106.0,-102.6,90.0,top
C52,156.0,-102.6,90.0,top
C53,116.0,-102.6,90.0,top
C54,166.0,-102.6,90.0,top
C55,126.0,-102.6,90.0,top
C56,176.0,-102.6,90.0,top
C57,136.0,-102.6,90.0,top
C58,186.0,-102.6,90.0,top
C59,146.0,-102.6,90.0,top
C6,138.0,-51.4,270.0,top
C60,189.0,-105.85,0.0,top
C61,188.0,-111.4,270.0,top
C62,138.0,-111.4,270.0,top
C63,178.0,-111.4,270.0,top
C64,128.0,-111.4,270.0,top
C65,168.0,-111.4,270.0,top
C66,118.0,-111.4,270.0,top
C67,158.0,-111.4,270.0,top
C68,108.0,-111.4,270.0,top
C69,148.0,-111.4,270.0,top
C7,128.0,-51.4,270.0,top
C70,98.2,-111.4,270.0,top
C71,106.0,-122.6,90.0,top
C72,156.0,-122.6,90.0,top
C73,116.0,-122.6,90.0,top
C74,166.0,-122.6,90.0,top
C75,126.0,-122.6,90.0,top
C76,176.0,-122.6,90.0,top
C77,136.0,-122.6,90.0,top
C78,186.0,-122.6,90.0,top
C79,146.0,-122.6,90.0,top
C8,118.0,-51.4,270.0,top
C80,188.95,-125.9,0.0,top
C81,188.0,-131.4,270.0,top
C82,138.0,-131.4,270.0,top
C83,178.0,-131.4,270.0,top
C84,128.0,-131.4,270.0,top
C85,168.0,-131.4,270.0,top
C86,118.0,-131.4,270.0,top
C87,158.0,-131.4,270.0,top
C88,108.0,-131.4,270.0,top
C89,148.0,-131.4,270.0,top
C9,108.0,-51.4,270.0,top
C90,98.2,-131.4,270.0,top
C91,106.0,-142.6,90.0,top
C92,156.0,-142.6,90.0,top
C93,116.0,-142.6,90.0,top
C94,166.0,-142.6,90.0,top
C95,126.0,-142.6,90.0,top
C96,176.0,-142.6,90.0,top
C97,136.0,-142.6,90.0,top
C98,186.0,-142.6,90.0,top
C99,146.0,-142.6,90.0,top
CN1,185.55,-88.3,0.0,bottom
H1,117.0,-127.0,0.0,bottom
H2,177.0,-127.0,0.0,bottom
H3,117.0,-67.0,0.0,bottom
H4,177.0,-67.0,0.0,bottom
