Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_Common_Unspecified,1,RaspberryPi_Pico,
"C1, C38, C45, C47, C59",0805,5,10uF,
C10,C19673858_CAP-SMD_BD6_3-L6_5-W6_5-LS7_2-FD_1,1,100uF,C19673858
"C11, C14, C16, C17, C2, C20, C23, C28, C3, C35, C36, C37, C39, C40, C41, C43, C44, C46, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C6, C7",0402,32,100nF,
C12,0805,1,2.2uF,
"C13, C15, C25, C8",0402,4,10nF,
"C18, C19, C33, C34",C778721_C1210,4,22uF,C778721
"C21, C30, C31, C32",C426659_C1206,4,47uF,C426659
C22,0402,1,68pF,
"C24, C27, C4",0402,3,1uF,
C26,0603,1,1uF,
C29,0402,1,22pF,
C42,0402,1,160nF,
C9,0402,1,4.7nF,
CN1,C428721_CONN-TH_XT30UPB-M,1,XT30UPB-M,C428721
"CN2, CN3, CN4, CN5",C264992_CONN-TH_B03B-XASK-1-A-LF-SN,4,B03B-XASK-1-A(LF)(SN),C264992
"D1, D5, D6",C496536_DFN1006-2L-BI,3,PESDNC2FD3V3BS,C496536
D2,C523793_WSON-6_L2_0-W2_0-P0_65-BL-EP,1,TVS2200DRVR,C523793
D3,C725481_SOD-123FL_L2_8-W1_7-LS3_6-RD,1,SMD34PL-TP,C725481
D4,D_SOD-882,1,3.9V,
F1,1206,1,Fuse,
"FPC1, FPC2, FPC3, FPC4, FPC5, FPC6",C2906114_FPC-SMD_10P-P0_50_HCTL_XW05202-100R-00,6,XW05202-100R-00,C2906114
L1,C138686_IND-SMD_L10_7-W10_0,1,22uH,C138686
L2,C845068_IND-SMD_L10_2-W10_2-LS10_8,1,1uH,C845068
"LED1, LED2, LED3, LED4, LED5",C5378721_LED-SMD_4P-L4_0-W1_6-L,5,SK6812SIDE-A_C5378721,C5378721
Q1,C42443455_SOT-23-3_L2_9-W1_5-P2_0-LS2_5-BR,1,JTD2302,C42443455
"Q2, Q3",C547286_SOT-883-3_L1_0-W0_6-BR,2,PMZ600UNEYL,C547286
"R1, R23, R25, R33, R40",0402,5,1K,
R10,0402,1,8K45,
R11,0402,1,16K2,
"R12, R15, R16, R2, R24, R26, R34, R38, R41, R46, R47, R48, R9, TH1",0402,14,10K,
R13,0402,1,1K15,
R14,0402,1,11K3,
R17,0402,1,619R,
"R18, R22, R3, R4",0402,4,4.7K,
R19,0402,1,330R,
R20,0402,1,24K,
R21,0402,1,2370R,
"R27, R37, R42, R43, R44",0402,5,100K,
"R28, R30",0402,2,5.1K,
R29,0402,1,2K55,
R31,0402,1,15K,
R32,0402,1,1K02,
R35,0402,1,120K,
R36,0402,1,20K,
"R39, R5, R6, R7, R8",0402,5,33R,
"R45, R49",0402,2,470R,
RN1,C165956_RES-ARRAY-SMD_0603-8P-L3_2-W1_6-BL,1,YC164-JR-0733RL,C165956
"RN2, RN3, RN4, RN5",C165956_RES-ARRAY-SMD_0603-8P-L3_2-W1_6-BL,4,33R,C165956
SW1,C2888428_SW-SMD_4P-L4_2-W3_3-P2_15-LS4_6,1,TSA016A2526A,C2888428
"SW2, SW3, SW4",C36936640_SW-SMD_TS1102-TD35HBM,3,TS1102-TD35HBM,C36936640
"TP1, TP2",TestPoint_Pad_1.5x1.5mm,2,TestPoint,
"TP3, TP4",TestPoint_Pad_D1.0mm,2,CC1,
TP5,TestPoint_Pad_D1.0mm,1,CC2,
TP6,TestPoint_Pad_D1.0mm,1,VBUS,
TP7,TestPoint_Pad_D1.0mm,1,5V,
TP8,TestPoint_Pad_D1.0mm,1,VSYS,
U1,C19274408_LGA-12_L2_0-W2_0-P0_50-TL,1,SC7A20HTR,C19274408
"U10, U2",C157930_CONN-TH_S2B-ZR-LF-SN,2,S2B-ZR (LF)(SN),C157930
"U11, U8",SOT-23-6,2,USBLC6-2SC6,
U12,SOT-23-6,1,TPS54202DDC,
U13,SOT-583-8,1,TPS2116DRL,
U14,SOT-363_SC-70-6,1,TPS22919DCK,
U15,C22418767_QFN-12_L3_0-W2_0-P0_5-TL_NB680,1,TPS51385RJNR,C22418767
"U16, U17, U18, U20, U21",C10425_SC-70-5_L2_1-W1_3-P0_65-LS2_1-BR,5,SN74LVC1G17DCKR,C10425
U19,C2653596_VQFN-36_L7_0-W3_5-P0_50-BL-EP,1,TPS24751RUVR,C2653596
"U22, U23",C113281_TSSOP-20_L6_5-W4_4-P0_65-LS6_4-BL,2,SN74LVC541APWR_C113281,C113281
"U24, U25",SOT-353_SC-70-5,2,SN74LV1T34DCK,
U3,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9555PWR,
U4,C42163146_HDR-TH_8P-P2_54-H-F-R2-C4-S2_54-W8_5,1,HC-PM254-8.5H-2X4PW-02A,C42163146
U5,C5362199_TF-SMD_XKTF-0803-0,1,TF-0803-0,C5362199
U6,C3662793_VQFN-10_L2_0-W2_0-P0_45-TL,1,TPS259470LRPWR,C3662793
U7,C46061833_DFN-10_L2_0-W2_0-P0_40-BL-EP,1,CH224Q_C46061833,C46061833
U9,C19170841_SOT-23-3_L2_9-W1_3-P1_90-LS2_4-BR,1,ESD2CAN24-ES,C19170841
"USBC1, USBC2",C165948_USB-C_SMD-TYPE-C-31-M-12_1,2,TYPE-C-31-M-12,C165948
