Designator,Mid X,Mid Y,Rotation,Layer
A1,172.365,-93.665,90.0,top
C1,166.075,-90.45,180.0,top
C10,125.35,-82.25,90.0,top
C11,117.85,-81.8,0.0,top
C12,110.75,-82.0,180.0,top
C13,167.9675,-88.0,180.0,top
C14,103.4825,-77.275,180.0,top
C15,164.05,-88.075,0.0,top
C16,134.1,-94.35,0.0,top
C17,132.875,-87.775,180.0,top
C18,134.825,-84.3,270.0,top
C19,131.375,-84.3,270.0,top
C2,162.7825,-90.925,180.0,top
C20,148.75,-96.45,0.0,top
C21,148.675,-99.375,180.0,top
C22,128.46625,-91.3175,90.0,top
C23,146.6,-80.475,0.0,top
C24,146.05,-89.6,270.0,top
C25,149.05,-81.5,0.0,top
C26,134.3,-80.245,180.0,top
C27,114.825,-95.475,180.0,top
C28,114.825,-96.975,150.0,top
C29,103.575,-92.775,90.0,top
C3,155.55,-91.4,90.0,top
C30,116.425,-111.775,90.0,top
C31,113.775,-111.785,90.0,top
C32,111.125,-111.775,90.0,top
C33,111.5,-90.1,0.0,top
C34,111.5,-86.6,0.0,top
C35,111.49,-91.97,180.0,top
C36,107.825,-95.275,0.0,top
C37,163.25,-116.125,135.0,top
C38,161.85,-122.45,270.0,top
C39,165.474904,-111.74038,315.0,top
C4,154.45,-91.4,90.0,top
C40,163.505612,-109.749875,315.0,top
C41,161.550462,-107.745227,315.0,top
C42,120.66,-99.47,270.0,top
C43,126.05,-100.1,270.0,top
C44,160.075,-120.025,180.0,top
C45,175.2475,-123.075,90.0,top
C46,174.2975,-119.8425,270.0,top
C47,187.168763,-111.325,180.0,top
C48,183.936263,-112.275,0.0,top
C49,110.9825,-135.35,0.0,top
C5,161.15,-89.8,180.0,top
C50,102.495,-133.73,180.0,top
C51,111.58,-139.10875,0.0,top
C52,102.5,-123.725,180.0,top
C53,111.4425,-129.55,0.0,top
C54,102.275,-119.775,180.0,top
C55,111.4425,-119.55,0.0,top
C56,154.15,-74.75,0.0,top
C57,147.0825,-75.8,180.0,top
C58,125.867142,-75.925,180.0,top
C59,110.55,-122.2,0.0,top
C6,160.925,-87.275,270.0,top
C7,184.425,-76.975,270.0,top
C8,171.1,-87.85,180.0,top
C9,118.0,-84.3,270.0,top
CN1,121.35,-112.45,90.0,top
CN2,128.2,-112.3,270.0,top
CN3,136.2,-112.3,270.0,top
CN4,144.2,-112.3,270.0,top
CN5,152.2,-112.3,270.0,top
D1,170.975,-86.875,0.0,top
D2,118.05,-80.3,90.0,top
D3,110.29,-84.05,180.0,top
D4,111.35,-83.2,0.0,bottom
D5,168.175,-86.85,0.0,top
D6,163.9,-86.9,180.0,top
F1,144.4,-84.685,90.0,top
FPC1,153.925,-121.4275,0.0,top
FPC2,164.2775,-130.395,0.0,top
FPC3,174.62,-130.415,0.0,top
FPC4,194.488763,-122.295,90.0,top
FPC5,194.525,-93.675,90.0,top
FPC6,194.508763,-111.9525,90.0,top
H1,103.5,-74.1,0.0,top
H2,166.25,-76.45,0.0,top
